Frame,Angle
0,"{'Flexão_Cab': 89.89794937456986, 'Flexão_Tro': 152.39886001817072, 'Rotação_Tro': 2.838338393375328}"
2,"{'Flexão_Cab': 87.88958296703684, 'Flexão_Tro': 153.78101005297867, 'Rotação_Tro': 3.62284065466323}"
4,"{'Flexão_Cab': 91.256043933195, 'Flexão_Tro': 155.8962917907453, 'Rotação_Tro': 1.13768864800806}"
6,"{'Flexão_Cab': 88.6805815174307, 'Flexão_Tro': 155.26717686520118, 'Rotação_Tro': 4.706404967721232}"
8,"{'Flexão_Cab': 84.92944254635957, 'Flexão_Tro': 152.29046606585092, 'Rotação_Tro': 5.335751594288805}"
10,"{'Flexão_Cab': 77.52911368164496, 'Flexão_Tro': 147.33596020730494, 'Rotação_Tro': 6.6812648231871945}"
12,"{'Flexão_Cab': 73.17577873330819, 'Flexão_Tro': 147.84272742113734, 'Rotação_Tro': 4.003960390910997}"
14,"{'Flexão_Cab': 72.23255631489724, 'Flexão_Tro': 148.65329253658314, 'Rotação_Tro': 5.211801252238494}"
16,"{'Flexão_Cab': 73.55951866827903, 'Flexão_Tro': 147.59350705609646, 'Rotação_Tro': 3.6263886604605062}"
18,"{'Flexão_Cab': 75.47038039531509, 'Flexão_Tro': 158.30506636276573, 'Rotação_Tro': 3.2004441223965205}"
20,"{'Flexão_Cab': 73.49914675326848, 'Flexão_Tro': 152.6984130935358, 'Rotação_Tro': 3.030559348899277}"
22,"{'Flexão_Cab': 74.82504653843014, 'Flexão_Tro': 152.13455057159769, 'Rotação_Tro': 4.757483372145331}"
24,"{'Flexão_Cab': 73.98870780850783, 'Flexão_Tro': 147.36095754920035, 'Rotação_Tro': 4.112260363730788}"
26,"{'Flexão_Cab': 78.65094553486534, 'Flexão_Tro': 155.9805797648619, 'Rotação_Tro': 4.584360385891042}"
28,"{'Flexão_Cab': 79.45838235526178, 'Flexão_Tro': 156.06356955803665, 'Rotação_Tro': 4.575167114711385}"
30,"{'Flexão_Cab': 79.35102632789507, 'Flexão_Tro': 157.62202722164014, 'Rotação_Tro': 4.0541433790714745}"
32,"{'Flexão_Cab': 77.6040752000581, 'Flexão_Tro': 156.56250709812392, 'Rotação_Tro': 4.300960818601928}"
34,"{'Flexão_Cab': 71.83903720491209, 'Flexão_Tro': 156.00861769786528, 'Rotação_Tro': 2.226875631762525}"
36,"{'Flexão_Cab': 71.6461633240063, 'Flexão_Tro': 155.51318990380344, 'Rotação_Tro': 1.2813843747296987}"
38,"{'Flexão_Cab': 75.79356035246943, 'Flexão_Tro': 151.20431728863994, 'Rotação_Tro': 4.49933605178908}"
40,"{'Flexão_Cab': 69.2598495409551, 'Flexão_Tro': 154.48383970336403, 'Rotação_Tro': 2.940832749283589}"
42,"{'Flexão_Cab': 70.25137215310865, 'Flexão_Tro': 148.77333139134944, 'Rotação_Tro': 2.4276574380046703}"
44,"{'Flexão_Cab': 74.78739457753058, 'Flexão_Tro': 155.91352967878805, 'Rotação_Tro': 2.3609612482579583}"
46,"{'Flexão_Cab': 82.12979844615826, 'Flexão_Tro': 152.20720550839448, 'Rotação_Tro': 2.0222537783881513}"
48,"{'Flexão_Cab': 77.70549211961185, 'Flexão_Tro': 155.34668306115108, 'Rotação_Tro': 2.6914858080825157}"
50,"{'Flexão_Cab': 70.40983890762162, 'Flexão_Tro': 156.84597125720273, 'Rotação_Tro': 1.1601265650808956}"
52,"{'Flexão_Cab': 69.70471945623835, 'Flexão_Tro': 153.37222551938348, 'Rotação_Tro': 1.193901579823211}"
54,"{'Flexão_Cab': 71.86034564489512, 'Flexão_Tro': 154.5511135298558, 'Rotação_Tro': 3.176301609321715}"
56,"{'Flexão_Cab': 70.23931275690673, 'Flexão_Tro': 147.7103952544365, 'Rotação_Tro': 4.387447234414963}"
58,"{'Flexão_Cab': 70.92997959587007, 'Flexão_Tro': 151.19138585005942, 'Rotação_Tro': 4.2306417710225155}"
60,"{'Flexão_Cab': 73.55915979158819, 'Flexão_Tro': 150.21139320905334, 'Rotação_Tro': 1.0738017838184242}"
62,"{'Flexão_Cab': 66.53332855501382, 'Flexão_Tro': 154.3248770643758, 'Rotação_Tro': 0.963691196674915}"
64,"{'Flexão_Cab': 64.58257226664203, 'Flexão_Tro': 154.88102677047715, 'Rotação_Tro': 1.202151755541974}"
