flexao cabeca:	163.96819652201833	flexao tronco:	90.70639476695064	rotacao tronco:	7.523404562233907
flexao cabeca:	164.48987737032962	flexao tronco:	90.71611623611683	rotacao tronco:	7.524231745903172
flexao cabeca:	164.92730213367304	flexao tronco:	90.73122403734725	rotacao tronco:	7.529623940592203
flexao cabeca:	165.36163879648004	flexao tronco:	90.73884261386078	rotacao tronco:	7.503548842935954
flexao cabeca:	165.80389919114486	flexao tronco:	90.72818846176048	rotacao tronco:	7.431940565047792
flexao cabeca:	166.26349619684564	flexao tronco:	90.72241846679304	rotacao tronco:	7.380605896707243
flexao cabeca:	166.66071210373926	flexao tronco:	90.69804072356854	rotacao tronco:	7.389386158751165
flexao cabeca:	167.0235444509814	flexao tronco:	90.7013763660358	rotacao tronco:	7.437213504734048
flexao cabeca:	167.39264736682998	flexao tronco:	90.7268923907363	rotacao tronco:	7.475452247807748
flexao cabeca:	167.8305679058405	flexao tronco:	90.74138587595513	rotacao tronco:	7.510682053743855
flexao cabeca:	168.33514438788114	flexao tronco:	90.7599950019278	rotacao tronco:	7.502182063893198
flexao cabeca:	168.84388450188928	flexao tronco:	90.77306162313415	rotacao tronco:	7.507522736729143
flexao cabeca:	169.27592707182993	flexao tronco:	90.83216346990147	rotacao tronco:	7.51050685287195
flexao cabeca:	169.73604584966688	flexao tronco:	90.82979005845058	rotacao tronco:	7.516464325931065
flexao cabeca:	170.17182920819081	flexao tronco:	90.82557372499281	rotacao tronco:	7.552165443961526
flexao cabeca:	170.5410047709606	flexao tronco:	90.79435610663403	rotacao tronco:	7.583277569902142
flexao cabeca:	170.84699171404	flexao tronco:	90.76491770229262	rotacao tronco:	7.625321816814608
flexao cabeca:	171.19390848072695	flexao tronco:	90.76262994092943	rotacao tronco:	7.656669835790321
flexao cabeca:	171.63646930748004	flexao tronco:	90.7725788207338	rotacao tronco:	7.664723662168372
flexao cabeca:	172.16018521299904	flexao tronco:	90.81236979792979	rotacao tronco:	7.668012759993722
flexao cabeca:	172.77897522223228	flexao tronco:	90.8484868551082	rotacao tronco:	7.713150591503669
flexao cabeca:	173.39839511016382	flexao tronco:	90.9079926774298	rotacao tronco:	7.783727307240817
flexao cabeca:	173.8705259474981	flexao tronco:	90.98214017929611	rotacao tronco:	7.864418455356997
flexao cabeca:	174.2634292730632	flexao tronco:	91.00925357637816	rotacao tronco:	7.904678804617382
flexao cabeca:	174.6257858490487	flexao tronco:	91.02319904197198	rotacao tronco:	7.909465506919762
flexao cabeca:	175.07298314655714	flexao tronco:	91.10536014419449	rotacao tronco:	7.766500321106447
flexao cabeca:	175.25568015906495	flexao tronco:	91.0935872122758	rotacao tronco:	7.763484100906727
flexao cabeca:	175.384159357401	flexao tronco:	91.10452991734502	rotacao tronco:	7.73777676639294
flexao cabeca:	175.49110446167714	flexao tronco:	91.11725455914386	rotacao tronco:	7.688885409349047
flexao cabeca:	175.49764155796237	flexao tronco:	91.08766456989623	rotacao tronco:	7.654818233306799
flexao cabeca:	175.39779558713354	flexao tronco:	91.02272697527495	rotacao tronco:	7.652944325991484
flexao cabeca:	175.179229404458	flexao tronco:	90.94864938541674	rotacao tronco:	7.720029593228673
flexao cabeca:	174.86455860527326	flexao tronco:	90.90086729544738	rotacao tronco:	7.7856389582012415
flexao cabeca:	174.1723186753677	flexao tronco:	90.73365426068926	rotacao tronco:	8.03355034664557
flexao cabeca:	173.64417537909506	flexao tronco:	90.69546968810025	rotacao tronco:	8.018975215626044
flexao cabeca:	173.04637635048894	flexao tronco:	90.66762154735308	rotacao tronco:	7.974452089649302
flexao cabeca:	172.36880063417928	flexao tronco:	90.647372969611	rotacao tronco:	7.930180707181864
flexao cabeca:	171.656535993836	flexao tronco:	90.63810943830246	rotacao tronco:	7.8564920122385855
flexao cabeca:	170.92058819181568	flexao tronco:	90.64298333212308	rotacao tronco:	7.827813765312476
flexao cabeca:	170.15996850865622	flexao tronco:	90.65388544308279	rotacao tronco:	7.81470550780295
flexao cabeca:	169.42405696954214	flexao tronco:	90.6455612194384	rotacao tronco:	7.797752322974436
flexao cabeca:	168.66071820747982	flexao tronco:	90.64775773536677	rotacao tronco:	7.762657487375892
flexao cabeca:	167.93958764504455	flexao tronco:	90.6566163534642	rotacao tronco:	7.751724349207744
flexao cabeca:	167.24242204463633	flexao tronco:	90.6638587895074	rotacao tronco:	7.757522239201549
flexao cabeca:	166.5927914693701	flexao tronco:	90.67196316195032	rotacao tronco:	7.794347618996512
flexao cabeca:	165.97548655854166	flexao tronco:	90.68269793822253	rotacao tronco:	7.811475144822742
flexao cabeca:	165.35454605573935	flexao tronco:	90.68793177624168	rotacao tronco:	7.845521693401758
flexao cabeca:	164.7159735662248	flexao tronco:	90.67446347657642	rotacao tronco:	7.83482803152583
flexao cabeca:	164.04321829371213	flexao tronco:	90.65379579836187	rotacao tronco:	7.832170181143079
flexao cabeca:	163.38383622596479	flexao tronco:	90.66017350533713	rotacao tronco:	7.7907618120468225
flexao cabeca:	162.66546491976868	flexao tronco:	90.66672836155244	rotacao tronco:	7.763288867293713
flexao cabeca:	161.94862176806828	flexao tronco:	90.64242859669837	rotacao tronco:	7.752027302130212
flexao cabeca:	161.2390825476375	flexao tronco:	90.6464509987256	rotacao tronco:	7.795236474655225
flexao cabeca:	160.50936704157712	flexao tronco:	90.67000307250169	rotacao tronco:	7.837305515596623
flexao cabeca:	159.7643367384849	flexao tronco:	90.64791519677249	rotacao tronco:	7.828044874740743
flexao cabeca:	158.9668858662865	flexao tronco:	90.61502247785923	rotacao tronco:	7.815641925746531
