Frame,Angle
22,"{'Flexão_CotoveloD': 72.06854527709017, 'Flexão_CotoveloE': 103.79744467115027, 'Abdução_OmbroE': 150.6248109314972, 'Abdução_OmbroD': 129.34170482833596, 'Flexão_OmbroE': 101.35069506862114, 'Flexão_OmbroD': 44.8692180099672}"
23,"{'Flexão_CotoveloD': 78.2755132570092, 'Flexão_CotoveloE': 110.23134416476414, 'Abdução_OmbroE': 153.65345866707187, 'Abdução_OmbroD': 134.2514474921607, 'Flexão_OmbroE': 103.15821853108869, 'Flexão_OmbroD': 46.38002304353725}"
24,"{'Flexão_CotoveloD': 73.5406937842495, 'Flexão_CotoveloE': 105.25070612396182, 'Abdução_OmbroE': 150.55938160991187, 'Abdução_OmbroD': 132.62589236054438, 'Flexão_OmbroE': 100.80715017571038, 'Flexão_OmbroD': 45.44673998092381}"
25,"{'Flexão_CotoveloD': 74.09397096636329, 'Flexão_CotoveloE': 102.65186349491204, 'Abdução_OmbroE': 149.51872744464126, 'Abdução_OmbroD': 131.52385766121245, 'Flexão_OmbroE': 95.64578052744311, 'Flexão_OmbroD': 39.73694271697315}"
26,"{'Flexão_CotoveloD': 77.06934991126344, 'Flexão_CotoveloE': 109.4295119535501, 'Abdução_OmbroE': 149.67417210623245, 'Abdução_OmbroD': 134.11291183890177, 'Flexão_OmbroE': 106.75510723040938, 'Flexão_OmbroD': 56.935749757632095}"
27,"{'Flexão_CotoveloD': 74.48003657999567, 'Flexão_CotoveloE': 106.432173544175, 'Abdução_OmbroE': 144.8861432447171, 'Abdução_OmbroD': 133.03204148012077, 'Flexão_OmbroE': 103.68702863439964, 'Flexão_OmbroD': 54.67746075650919}"
28,"{'Flexão_CotoveloD': 73.86662597073587, 'Flexão_CotoveloE': 104.55392164653725, 'Abdução_OmbroE': 144.4474494896494, 'Abdução_OmbroD': 132.20212998050434, 'Flexão_OmbroE': 102.33543971763376, 'Flexão_OmbroD': 54.2828174380338}"
29,"{'Flexão_CotoveloD': 70.9614005871834, 'Flexão_CotoveloE': 102.13392392522276, 'Abdução_OmbroE': 147.21188979861745, 'Abdução_OmbroD': 135.28306914310951, 'Flexão_OmbroE': 99.68070905952843, 'Flexão_OmbroD': 47.20289492703321}"
30,"{'Flexão_CotoveloD': 73.56051072010337, 'Flexão_CotoveloE': 99.39744447038943, 'Abdução_OmbroE': 146.48862851152327, 'Abdução_OmbroD': 133.35914620383318, 'Flexão_OmbroE': 96.98560730501316, 'Flexão_OmbroD': 45.21559437659968}"
31,"{'Flexão_CotoveloD': 74.17124242108898, 'Flexão_CotoveloE': 93.0498980689386, 'Abdução_OmbroE': 142.59045166901507, 'Abdução_OmbroD': 133.12240769882945, 'Flexão_OmbroE': 94.99091238494151, 'Flexão_OmbroD': 44.20474906941152}"
32,"{'Flexão_CotoveloD': 72.73674658730495, 'Flexão_CotoveloE': 94.16574363227576, 'Abdução_OmbroE': 141.3782379102452, 'Abdução_OmbroD': 135.4479590112328, 'Flexão_OmbroE': 89.92889958269116, 'Flexão_OmbroD': 41.455440518803016}"
33,"{'Flexão_CotoveloD': 78.46983718208214, 'Flexão_CotoveloE': 99.08745665910337, 'Abdução_OmbroE': 144.83458039544914, 'Abdução_OmbroD': 135.947772895663, 'Flexão_OmbroE': 99.59275379982614, 'Flexão_OmbroD': 48.6871367997542}"
34,"{'Flexão_CotoveloD': 77.33981892633344, 'Flexão_CotoveloE': 96.87353280969747, 'Abdução_OmbroE': 141.88168665075003, 'Abdução_OmbroD': 135.76964699709046, 'Flexão_OmbroE': 92.49774923453771, 'Flexão_OmbroD': 44.00497328243836}"
35,"{'Flexão_CotoveloD': 72.65612835140051, 'Flexão_CotoveloE': 93.31144527180938, 'Abdução_OmbroE': 136.7371886063867, 'Abdução_OmbroD': 136.0630862506271, 'Flexão_OmbroE': 89.10567613169306, 'Flexão_OmbroD': 42.14602086843061}"
36,"{'Flexão_CotoveloD': 73.14597054410658, 'Flexão_CotoveloE': 90.53002710044782, 'Abdução_OmbroE': 137.86710873475965, 'Abdução_OmbroD': 132.90755565895347, 'Flexão_OmbroE': 87.50492048092067, 'Flexão_OmbroD': 41.82018402454668}"
37,"{'Flexão_CotoveloD': 76.79276360457523, 'Flexão_CotoveloE': 91.18132168128045, 'Abdução_OmbroE': 139.47542656596622, 'Abdução_OmbroD': 136.84117273131972, 'Flexão_OmbroE': 88.54466129908263, 'Flexão_OmbroD': 43.75198701156799}"
38,"{'Flexão_CotoveloD': 76.57539015526497, 'Flexão_CotoveloE': 89.32767817463112, 'Abdução_OmbroE': 139.79248127905234, 'Abdução_OmbroD': 135.49813189825954, 'Flexão_OmbroE': 80.51649189456455, 'Flexão_OmbroD': 40.99875671337719}"
39,"{'Flexão_CotoveloD': 81.37410763146691, 'Flexão_CotoveloE': 90.13939426984557, 'Abdução_OmbroE': 140.7698641518995, 'Abdução_OmbroD': 137.88084469209508, 'Flexão_OmbroE': 84.11916453888172, 'Flexão_OmbroD': 44.93757176423395}"
40,"{'Flexão_CotoveloD': 76.80454733172773, 'Flexão_CotoveloE': 88.70508381824743, 'Abdução_OmbroE': 140.01308724977906, 'Abdução_OmbroD': 134.88865643055303, 'Flexão_OmbroE': 83.52336789303742, 'Flexão_OmbroD': 41.527009062703}"
41,"{'Flexão_CotoveloD': 74.78235658911025, 'Flexão_CotoveloE': 85.94775476358389, 'Abdução_OmbroE': 137.15664253630138, 'Abdução_OmbroD': 134.33669301015075, 'Flexão_OmbroE': 87.67898582653116, 'Flexão_OmbroD': 44.060618149892946}"
42,"{'Flexão_CotoveloD': 69.8401914354299, 'Flexão_CotoveloE': 82.30293181291162, 'Abdução_OmbroE': 135.8776708155073, 'Abdução_OmbroD': 131.15144280880855, 'Flexão_OmbroE': 77.49335735013497, 'Flexão_OmbroD': 38.69541973875502}"
43,"{'Flexão_CotoveloD': 77.84836320445831, 'Flexão_CotoveloE': 82.4145143966288, 'Abdução_OmbroE': 139.02206084292615, 'Abdução_OmbroD': 133.1194182783499, 'Flexão_OmbroE': 78.84439915894703, 'Flexão_OmbroD': 43.21409202539016}"
44,"{'Flexão_CotoveloD': 77.82607481883029, 'Flexão_CotoveloE': 80.14243402088054, 'Abdução_OmbroE': 139.57463999168635, 'Abdução_OmbroD': 129.98366165842245, 'Flexão_OmbroE': 78.288373546245, 'Flexão_OmbroD': 42.94516077291195}"
45,"{'Flexão_CotoveloD': 76.4916110740262, 'Flexão_CotoveloE': 82.62702455894818, 'Abdução_OmbroE': 135.79947399358167, 'Abdução_OmbroD': 132.3014783172514, 'Flexão_OmbroE': 82.70008103842878, 'Flexão_OmbroD': 43.24291163918727}"
46,"{'Flexão_CotoveloD': 74.6982027772845, 'Flexão_CotoveloE': 82.18443864538851, 'Abdução_OmbroE': 133.48089638995398, 'Abdução_OmbroD': 132.86543394585829, 'Flexão_OmbroE': 85.3522110110525, 'Flexão_OmbroD': 45.222891542894814}"
47,"{'Flexão_CotoveloD': 75.2076221096989, 'Flexão_CotoveloE': 83.12050172112099, 'Abdução_OmbroE': 135.12856099337867, 'Abdução_OmbroD': 131.6812403375012, 'Flexão_OmbroE': 91.79147099163697, 'Flexão_OmbroD': 50.41821099602481}"
48,"{'Flexão_CotoveloD': 74.67423414421256, 'Flexão_CotoveloE': 85.25819235399766, 'Abdução_OmbroE': 132.67436441734492, 'Abdução_OmbroD': 136.8212257023675, 'Flexão_OmbroE': 93.18940265740609, 'Flexão_OmbroD': 53.74294176968125}"
49,"{'Flexão_CotoveloD': 80.41885942468478, 'Flexão_CotoveloE': 84.19350170069961, 'Abdução_OmbroE': 135.5998413933821, 'Abdução_OmbroD': 136.68901020164628, 'Flexão_OmbroE': 97.12333351229341, 'Flexão_OmbroD': 56.62977983417609}"
50,"{'Flexão_CotoveloD': 76.99891096952933, 'Flexão_CotoveloE': 79.55572395464641, 'Abdução_OmbroE': 132.24828693764803, 'Abdução_OmbroD': 134.58482053118334, 'Flexão_OmbroE': 81.70583563531115, 'Flexão_OmbroD': 44.770425444411984}"
51,"{'Flexão_CotoveloD': 76.66355884025843, 'Flexão_CotoveloE': 78.44176631540867, 'Abdução_OmbroE': 130.14369461027098, 'Abdução_OmbroD': 135.51649749139622, 'Flexão_OmbroE': 79.74210874765234, 'Flexão_OmbroD': 45.06564725143653}"
52,"{'Flexão_CotoveloD': 74.80118336321785, 'Flexão_CotoveloE': 81.33599268639425, 'Abdução_OmbroE': 130.622592268214, 'Abdução_OmbroD': 134.80369362748615, 'Flexão_OmbroE': 79.98095562360072, 'Flexão_OmbroD': 44.34792338612604}"
53,"{'Flexão_CotoveloD': 79.59765905648283, 'Flexão_CotoveloE': 82.4380492497329, 'Abdução_OmbroE': 134.12492701623512, 'Abdução_OmbroD': 134.0952430675097, 'Flexão_OmbroE': 84.17673784588543, 'Flexão_OmbroD': 45.798192679457685}"
54,"{'Flexão_CotoveloD': 73.96378375138175, 'Flexão_CotoveloE': 87.49183814849948, 'Abdução_OmbroE': 129.78723748969867, 'Abdução_OmbroD': 138.88170083388061, 'Flexão_OmbroE': 84.88432591365428, 'Flexão_OmbroD': 49.267699486841735}"
55,"{'Flexão_CotoveloD': 79.93264765807425, 'Flexão_CotoveloE': 92.0817657684746, 'Abdução_OmbroE': 132.91770416062118, 'Abdução_OmbroD': 140.31481162655683, 'Flexão_OmbroE': 91.7071493314495, 'Flexão_OmbroD': 55.02274835110343}"
56,"{'Flexão_CotoveloD': 74.622842583359, 'Flexão_CotoveloE': 81.9495698215895, 'Abdução_OmbroE': 132.04296821739004, 'Abdução_OmbroD': 134.56464459900678, 'Flexão_OmbroE': 83.85937098291481, 'Flexão_OmbroD': 46.07388569511167}"
57,"{'Flexão_CotoveloD': 82.31149306114936, 'Flexão_CotoveloE': 94.08774572171335, 'Abdução_OmbroE': 138.79407404210548, 'Abdução_OmbroD': 139.39462572818155, 'Flexão_OmbroE': 96.71450981947845, 'Flexão_OmbroD': 57.55443671168534}"
58,"{'Flexão_CotoveloD': 74.05253344535478, 'Flexão_CotoveloE': 86.65748042848443, 'Abdução_OmbroE': 131.21046400224003, 'Abdução_OmbroD': 137.70053740257396, 'Flexão_OmbroE': 86.64323684843558, 'Flexão_OmbroD': 47.625353071374434}"
59,"{'Flexão_CotoveloD': 76.86726797897539, 'Flexão_CotoveloE': 83.3937766818702, 'Abdução_OmbroE': 135.29725632314964, 'Abdução_OmbroD': 136.08432199088284, 'Flexão_OmbroE': 90.02296352079556, 'Flexão_OmbroD': 48.79574093813346}"
60,"{'Flexão_CotoveloD': 74.92320223164464, 'Flexão_CotoveloE': 83.14016049349468, 'Abdução_OmbroE': 139.16938597353044, 'Abdução_OmbroD': 132.8163255316347, 'Flexão_OmbroE': 80.00269631786271, 'Flexão_OmbroD': 41.46764405986232}"
61,"{'Flexão_CotoveloD': 72.48983980393949, 'Flexão_CotoveloE': 81.41668952567065, 'Abdução_OmbroE': 137.9772978048764, 'Abdução_OmbroD': 131.72705820937443, 'Flexão_OmbroE': 71.62441986463381, 'Flexão_OmbroD': 40.336924385787626}"
62,"{'Flexão_CotoveloD': 74.86953014697407, 'Flexão_CotoveloE': 91.03381168358902, 'Abdução_OmbroE': 137.51866472094375, 'Abdução_OmbroD': 138.26407594054794, 'Flexão_OmbroE': 84.77746256880694, 'Flexão_OmbroD': 43.13430274112204}"
63,"{'Flexão_CotoveloD': 72.77053231943903, 'Flexão_CotoveloE': 90.4663875472086, 'Abdução_OmbroE': 134.99387005171172, 'Abdução_OmbroD': 137.72687420782944, 'Flexão_OmbroE': 80.7519964567138, 'Flexão_OmbroD': 40.135563754705714}"
64,"{'Flexão_CotoveloD': 75.95139070055903, 'Flexão_CotoveloE': 89.52773271024056, 'Abdução_OmbroE': 136.22696026764135, 'Abdução_OmbroD': 138.28835010033544, 'Flexão_OmbroE': 79.01094283310204, 'Flexão_OmbroD': 42.19146753996654}"
65,"{'Flexão_CotoveloD': 66.91680042981633, 'Flexão_CotoveloE': 89.16834142767426, 'Abdução_OmbroE': 136.6740039086113, 'Abdução_OmbroD': 132.33468820489057, 'Flexão_OmbroE': 81.71593667990155, 'Flexão_OmbroD': 38.65683518313213}"
66,"{'Flexão_CotoveloD': 67.72881354260726, 'Flexão_CotoveloE': 90.87685728980308, 'Abdução_OmbroE': 137.387286368613, 'Abdução_OmbroD': 132.4015955741287, 'Flexão_OmbroE': 81.63245161855093, 'Flexão_OmbroD': 37.064444372526424}"
