Frame,Angle
0,"{'Flexão_CotoveloD': 174.78023989901786, 'Flexão_CotoveloE': 174.3000684210375, 'Abdução_OmbroE': 164.53319574274227, 'Abdução_OmbroD': 166.9635797192179, 'Flexão_OmbroE': 128.8643675054238, 'Flexão_OmbroD': 80.6293761235704}"
2,"{'Flexão_CotoveloD': 175.70828306175778, 'Flexão_CotoveloE': 172.19069830846874, 'Abdução_OmbroE': 166.21424783571334, 'Abdução_OmbroD': 168.33632538719058, 'Flexão_OmbroE': 129.93439295414913, 'Flexão_OmbroD': 80.21452975156339}"
4,"{'Flexão_CotoveloD': 155.43197699596672, 'Flexão_CotoveloE': 175.5693423253108, 'Abdução_OmbroE': 167.34118505062415, 'Abdução_OmbroD': 166.96914307611567, 'Flexão_OmbroE': 133.62530636348043, 'Flexão_OmbroD': 83.15815803374883}"
6,"{'Flexão_CotoveloD': 174.3401299964053, 'Flexão_CotoveloE': 175.26268089754714, 'Abdução_OmbroE': 168.7703270519269, 'Abdução_OmbroD': 169.46586370101153, 'Flexão_OmbroE': 136.37190764980159, 'Flexão_OmbroD': 96.99562685047822}"
8,"{'Flexão_CotoveloD': 165.33355788317886, 'Flexão_CotoveloE': 175.05348765261795, 'Abdução_OmbroE': 167.64757194806333, 'Abdução_OmbroD': 167.28983795111057, 'Flexão_OmbroE': 134.53447529891866, 'Flexão_OmbroD': 91.29350492901384}"
10,"{'Flexão_CotoveloD': 164.51581200317193, 'Flexão_CotoveloE': 175.4823831570305, 'Abdução_OmbroE': 167.91439132643453, 'Abdução_OmbroD': 167.07643897170612, 'Flexão_OmbroE': 136.2838405935575, 'Flexão_OmbroD': 90.66951643650097}"
12,"{'Flexão_CotoveloD': 175.72546428553997, 'Flexão_CotoveloE': 175.6545073481953, 'Abdução_OmbroE': 169.22869036574502, 'Abdução_OmbroD': 170.10774524084403, 'Flexão_OmbroE': 137.5004080938881, 'Flexão_OmbroD': 98.13319550150452}"
14,"{'Flexão_CotoveloD': 172.08461562764887, 'Flexão_CotoveloE': 175.50221579710632, 'Abdução_OmbroE': 169.331846817047, 'Abdução_OmbroD': 168.7561039698415, 'Flexão_OmbroE': 135.62591772474823, 'Flexão_OmbroD': 102.7436404022099}"
16,"{'Flexão_CotoveloD': 169.4063214417825, 'Flexão_CotoveloE': 175.80666248644346, 'Abdução_OmbroE': 170.61859890422656, 'Abdução_OmbroD': 169.59421091187608, 'Flexão_OmbroE': 139.12471177353558, 'Flexão_OmbroD': 100.01366132229028}"
18,"{'Flexão_CotoveloD': 166.90986415655792, 'Flexão_CotoveloE': 175.5196445621493, 'Abdução_OmbroE': 170.26115078522523, 'Abdução_OmbroD': 168.48998914905386, 'Flexão_OmbroE': 137.87124977098696, 'Flexão_OmbroD': 99.67205312897693}"
20,"{'Flexão_CotoveloD': 168.2792387837726, 'Flexão_CotoveloE': 175.47551542877733, 'Abdução_OmbroE': 170.30418340935802, 'Abdução_OmbroD': 168.59246466686304, 'Flexão_OmbroE': 137.85963481936702, 'Flexão_OmbroD': 98.31846690123646}"
22,"{'Flexão_CotoveloD': 175.69675640968902, 'Flexão_CotoveloE': 176.13893817703004, 'Abdução_OmbroE': 170.63894052119338, 'Abdução_OmbroD': 170.82685739186, 'Flexão_OmbroE': 137.9402805907285, 'Flexão_OmbroD': 98.00368277161844}"
24,"{'Flexão_CotoveloD': 175.5686612552238, 'Flexão_CotoveloE': 175.64489369987257, 'Abdução_OmbroE': 172.43681804212693, 'Abdução_OmbroD': 170.986809392855, 'Flexão_OmbroE': 138.2770486093252, 'Flexão_OmbroD': 101.57429058309499}"
